,AAPL,GOOGL,MSFT,AMZN,META,TSLA,NVDA,PYPL,ADBE,INTC
0,146.1199951171875,141.66400146484375,297.760009765625,170.1643524169922,347.7850036621094,251.68284606933594,219.74530029296875,276.7449951171875,623.4400024414062,54.30160140991211
1,145.89999389648438,141.41400146484375,297.1099853515625,169.75,346.9599914550781,253.5226287841797,218.65989685058594,275.1199951171875,619.239990234375,54.11000061035156
2,146.56500244140625,141.84950256347656,298.29998779296875,170.51718139648438,352.05999755859375,254.07196044921875,220.83599853515625,276.0801086425781,622.0549926757812,54.22990036010742
3,146.7801055908203,141.70550537109375,298.6400146484375,170.69400024414062,352.7099914550781,255.51002502441406,221.4445037841797,276.5,622.780029296875,54.28499984741211
4,146.82989501953125,141.56649780273438,298.1600036621094,170.1999969482422,351.8699951171875,256.1499938964844,219.93649291992188,275.8699951171875,620.4500122070312,54.224998474121094
5,147.26499938964844,141.89950561523438,299.07000732421875,170.42250061035156,353.4599914550781,256.9633483886719,220.6699981689453,276.885009765625,621.0800170898438,54.31629943847656
6,146.91000366210938,142.21499633789062,299.3500061035156,171.32815551757812,352.9100036621094,258.17999267578125,220.8300018310547,278.1199951171875,622.7999877929688,54.220001220703125
7,145.5749969482422,141.59375,295.94500732421875,167.8699951171875,350.79998779296875,258.9433288574219,215.73500061035156,275.1199951171875,608.6799926757812,54.68989944458008
8,144.9250030517578,141.2862548828125,294.6300048828125,168.45950317382812,351.510009765625,262.96533203125,215.9199981689453,273.8599853515625,606.0650024414062,54.650001525878906
9,145.08999633789062,141.1280059814453,293.7699890136719,168.81800842285156,351.1300048828125,264.8099670410156,215.47999572753906,273.2900085449219,605.0800170898438,54.630001068115234
10,145.4600067138672,141.30050659179688,294.2799987792969,169.4375,353.1499938964844,264.36309814453125,216.38710021972656,273.65130615234375,606.3499755859375,54.810001373291016
11,145.7100067138672,141.6280059814453,294.20001220703125,169.86399841308594,354.19000244140625,265.21466064453125,217.14500427246094,273.54998779296875,604.9500122070312,54.79499816894531
12,145.55499267578125,141.31460571289062,294.489990234375,170.5,354.8399963378906,265.4700012207031,217.36500549316406,273.7699890136719,603.9000244140625,54.747100830078125
13,145.3800048828125,141.135498046875,294.1700134277344,170.33450317382812,353.6600036621094,263.8000183105469,216.55999755859375,273.4200134277344,603.6400146484375,54.65999984741211
14,143.7100067138672,136.06124877929688,286.84991455078125,166.59849548339844,342.739990234375,261.5999755859375,208.9615936279297,264.385009765625,584.489990234375,54.220001220703125
15,142.7135009765625,135.843994140625,284.82000732421875,165.489501953125,339.9750061035156,259.72332763671875,207.3000030517578,262.5299987792969,581.0700073242188,54.19300079345703
16,142.76119995117188,136.18850708007812,286.1199951171875,165.81149291992188,340.6600036621094,260.7891540527344,208.47000122070312,263.04998779296875,584.2899780273438,54.16619873046875
17,142.32989501953125,136.22804260253906,285.7799987792969,165.406494140625,341.29998779296875,259.9433288574219,208.3300018310547,263.2900085449219,582.6300048828125,54.209999084472656
18,142.54010009765625,136.3105010986328,286.2699890136719,165.9604949951172,343.1036071777344,257.41949462890625,208.46949768066406,263.92999267578125,584.0,54.36000061035156
19,142.34500122070312,136.47349548339844,284.9800109863281,165.73074340820312,341.5,260.1333312988281,208.08999633789062,263.239990234375,580.6900024414062,54.18000030517578
20,141.9199981689453,135.83050537109375,283.5199890136719,165.79800415039062,340.6499938964844,259.1866760253906,206.94000244140625,262.30999755859375,578.6699829101562,54.0
21,144.15499877929688,136.66600036621094,284.8599853515625,167.10501098632812,341.30999755859375,263.0434875488281,208.51919555664062,261.70001220703125,578.9299926757812,53.720001220703125
